Freq.;V(out)/V(p001)
4.26579518801592e+00;(6.94719369867454e+01dB,-1.79408207935852e+02°)
4.36515832240165e+00;(6.94719640790066e+01dB,-1.79423741708066e+02°)
4.46683592150962e+00;(6.94719902253584e+01dB,-1.79438970045711e+02°)
4.57088189614874e+00;(6.94720154806384e+01dB,-1.79453901016280e+02°)
4.67735141287197e+00;(6.94720398991723e+01dB,-1.79468542529972e+02°)
4.78630092322637e+00;(6.94720635321600e+01dB,-1.79482902344045e+02°)
4.89778819368445e+00;(6.94720864294750e+01dB,-1.79496988066781e+02°)
5.01187233627271e+00;(6.94721086399113e+01dB,-1.79510807161489e+02°)
5.12861383991364e+00;(6.94721302109291e+01dB,-1.79524366950464e+02°)
5.24807460249771e+00;(6.94721511874107e+01dB,-1.79537674618924e+02°)
5.37031796370252e+00;(6.94721716152494e+01dB,-1.79550737218595e+02°)
5.49540873857623e+00;(6.94721915365458e+01dB,-1.79563561671712e+02°)
5.62341325190348e+00;(6.94722109938930e+01dB,-1.79576154774429e+02°)
5.75439937337156e+00;(6.94722300286159e+01dB,-1.79588523200516e+02°)
5.88843655355588e+00;(6.94722486816361e+01dB,-1.79600673504840e+02°)
6.02559586074356e+00;(6.94722669913632e+01dB,-1.79612612126933e+02°)
6.16595001861481e+00;(6.94722849978067e+01dB,-1.79624345394194e+02°)
6.30957344480192e+00;(6.94723027372226e+01dB,-1.79635879525496e+02°)
6.45654229034654e+00;(6.94723202501183e+01dB,-1.79647220634100e+02°)
6.60693448007594e+00;(6.94723375711370e+01dB,-1.79658374731355e+02°)
6.76082975391980e+00;(6.94723547376071e+01dB,-1.79669347729489e+02°)
6.91830970918935e+00;(6.94723717873409e+01dB,-1.79680145444846e+02°)
7.07945784384136e+00;(6.94723887556596e+01dB,-1.79690773601088e+02°)
7.24435960074988e+00;(6.94724056769537e+01dB,-1.79701237832154e+02°)
7.41310241300916e+00;(6.94724225896213e+01dB,-1.79711543685049e+02°)
7.58577575029182e+00;(6.94724395282051e+01dB,-1.79721696623101e+02°)
7.76247116628690e+00;(6.94724565279118e+01dB,-1.79731702028666e+02°)
7.94328234724279e+00;(6.94724736265724e+01dB,-1.79741565205919e+02°)
8.12830516164097e+00;(6.94724908599163e+01dB,-1.79751291383839e+02°)
8.31763771102669e+00;(6.94725082644836e+01dB,-1.79760885718869e+02°)
8.51138038202374e+00;(6.94725258764539e+01dB,-1.79770353297695e+02°)
8.70963589956078e+00;(6.94725437337707e+01dB,-1.79779699139872e+02°)
8.91250938133743e+00;(6.94725618735187e+01dB,-1.79788928200572e+02°)
9.12010839355907e+00;(6.94725803359712e+01dB,-1.79798045373088e+02°)
9.33254300796988e+00;(6.94725991594239e+01dB,-1.79807055491589e+02°)
9.54992586021433e+00;(6.94726183821435e+01dB,-1.79815963333622e+02°)
9.77237220955808e+00;(6.94726380471201e+01dB,-1.79824773622515e+02°)
9.99999999999997e+00;(6.94726581947871e+01dB,-1.79833491030094e+02°)
1.02329299228075e+01;(6.94726788693717e+01dB,-1.79842120178988e+02°)
1.04712854805090e+01;(6.94727001125542e+01dB,-1.79850665645249e+02°)
1.07151930523760e+01;(6.94727219713404e+01dB,-1.79859131960589e+02°)
1.09647819614318e+01;(6.94727444911025e+01dB,-1.79867523614959e+02°)
1.12201845430196e+01;(6.94727677192151e+01dB,-1.79875845058846e+02°)
1.14815362149688e+01;(6.94727917063182e+01dB,-1.79884100705617e+02°)
1.17489755493953e+01;(6.94728165025587e+01dB,-1.79892294933951e+02°)
1.20226443461741e+01;(6.94728421603702e+01dB,-1.79900432090102e+02°)
1.23026877081238e+01;(6.94728687349114e+01dB,-1.79908516490216e+02°)
1.25892541179416e+01;(6.94728962809713e+01dB,-1.79916552422681e+02°)
1.28824955169313e+01;(6.94729248586149e+01dB,-1.79924544150307e+02°)
1.31825673855640e+01;(6.94729545274080e+01dB,-1.79932495912710e+02°)
1.34896288259165e+01;(6.94729853516943e+01dB,-1.79940411928475e+02°)
1.38038426460288e+01;(6.94730173946284e+01dB,-1.79948296397508e+02°)
1.41253754462275e+01;(6.94730507267734e+01dB,-1.79956153503140e+02°)
1.44543977074592e+01;(6.94730854166345e+01dB,-1.79963987414507e+02°)
1.47910838816820e+01;(6.94731215399334e+01dB,-1.79971802288643e+02°)
1.51356124843620e+01;(6.94731591705807e+01dB,-1.79979602272825e+02°)
1.54881661891248e+01;(6.94731983907261e+01dB,-1.79987391506660e+02°)
1.58489319246111e+01;(6.94732392827082e+01dB,-1.79995174124405e+02°)
1.62181009735892e+01;(6.94732819325878e+01dB,1.79997045742863e+02°)
1.65958690743755e+01;(6.94733264320554e+01dB,1.79989263965054e+02°)
1.69824365246174e+01;(6.94733728759554e+01dB,1.79981476410820e+02°)
