rl;V(vo);I(RL)
1.452142857142857e+02;5.011437e+00;3.451063e-02
1.462136820925553e+02;5.011440e+00;3.427477e-02
1.472130784708250e+02;5.011444e+00;3.404211e-02
1.482124748490946e+02;5.011448e+00;3.381259e-02
1.492118712273642e+02;5.011451e+00;3.358614e-02
1.502112676056338e+02;5.011455e+00;3.336271e-02
1.512106639839034e+02;5.011458e+00;3.314223e-02
1.522100603621730e+02;5.011462e+00;3.292464e-02
1.532094567404427e+02;5.011466e+00;3.270990e-02
1.542088531187123e+02;5.011469e+00;3.249793e-02
1.552082494969819e+02;5.011472e+00;3.228870e-02
1.562076458752515e+02;5.011476e+00;3.208214e-02
1.572070422535211e+02;5.011479e+00;3.187821e-02
1.582064386317907e+02;5.011482e+00;3.167685e-02
1.592058350100604e+02;5.011485e+00;3.147803e-02
1.602052313883300e+02;5.011488e+00;3.128168e-02
1.612046277665996e+02;5.011491e+00;3.108776e-02
1.622040241448692e+02;5.011495e+00;3.089624e-02
1.632034205231388e+02;5.011497e+00;3.070706e-02
1.642028169014085e+02;5.011501e+00;3.052019e-02
1.652022132796781e+02;5.011504e+00;3.033557e-02
1.662016096579477e+02;5.011507e+00;3.015318e-02
1.672010060362173e+02;5.011509e+00;2.997296e-02
1.682004024144869e+02;5.011512e+00;2.979489e-02
1.691997987927566e+02;5.011515e+00;2.961892e-02
1.701991951710262e+02;5.011518e+00;2.944502e-02
1.711985915492958e+02;5.011521e+00;2.927314e-02
1.721979879275654e+02;5.011524e+00;2.910327e-02
1.731973843058350e+02;5.011527e+00;2.893535e-02
1.741967806841046e+02;5.011529e+00;2.876936e-02
1.751961770623743e+02;5.011532e+00;2.860526e-02
1.761955734406439e+02;5.011535e+00;2.844302e-02
1.771949698189135e+02;5.011538e+00;2.828262e-02
1.781943661971831e+02;5.011540e+00;2.812401e-02
1.791937625754527e+02;5.011542e+00;2.796717e-02
1.801931589537223e+02;5.011545e+00;2.781207e-02
1.811925553319920e+02;5.011548e+00;2.765868e-02
1.821919517102616e+02;5.011550e+00;2.750698e-02
1.831913480885312e+02;5.011553e+00;2.735693e-02
1.841907444668008e+02;5.011555e+00;2.720851e-02
1.851901408450704e+02;5.011558e+00;2.706169e-02
1.861895372233400e+02;5.011560e+00;2.691644e-02
1.871889336016097e+02;5.011562e+00;2.677275e-02
1.881883299798793e+02;5.011565e+00;2.663058e-02
1.891877263581489e+02;5.011567e+00;2.648992e-02
1.901871227364185e+02;5.011569e+00;2.635073e-02
1.911865191146881e+02;5.011572e+00;2.621300e-02
1.921859154929577e+02;5.011574e+00;2.607670e-02
1.931853118712274e+02;5.011577e+00;2.594181e-02
1.941847082494970e+02;5.011579e+00;2.580831e-02
1.951841046277666e+02;5.011581e+00;2.567617e-02
1.961835010060362e+02;5.011583e+00;2.554539e-02
1.971828973843058e+02;5.011585e+00;2.541592e-02
1.981822937625755e+02;5.011588e+00;2.528777e-02
1.991816901408451e+02;5.011590e+00;2.516090e-02
2.001810865191147e+02;5.011592e+00;2.503529e-02
2.011804828973843e+02;5.011594e+00;2.491094e-02
2.021798792756539e+02;5.011596e+00;2.478781e-02
2.031792756539236e+02;5.011598e+00;2.466589e-02
2.041786720321932e+02;5.011600e+00;2.454517e-02
2.051780684104628e+02;5.011602e+00;2.442562e-02
2.061774647887324e+02;5.011604e+00;2.430724e-02
2.071768611670020e+02;5.011606e+00;2.418999e-02
2.081762575452716e+02;5.011609e+00;2.407387e-02
2.091756539235413e+02;5.011611e+00;2.395886e-02
2.101750503018109e+02;5.011612e+00;2.384494e-02
2.111744466800805e+02;5.011614e+00;2.373211e-02
2.121738430583501e+02;5.011616e+00;2.362033e-02
2.131732394366197e+02;5.011618e+00;2.350960e-02
2.141726358148893e+02;5.011620e+00;2.339991e-02
